prompt,tool,label
Find all functions that call authenticate_user(),grep_search,1
Find all functions that call authenticate_user(),codebase_search,1
Find all functions that call authenticate_user(),read_file,0
Find all functions that call authenticate_user(),list_dir,0
Find all functions that call authenticate_user(),run_terminal_cmd,0
Find all functions that call authenticate_user(),edit_file,0
Find all functions that call authenticate_user(),web_search,0
Search for all usages of login() in the codebase,grep_search,1
Search for all usages of login() in the codebase,codebase_search,1
Search for all usages of login() in the codebase,read_file,0
Search for all usages of login() in the codebase,list_dir,0
Search for all usages of login() in the codebase,run_terminal_cmd,0
Search for all usages of login() in the codebase,edit_file,0
Search for all usages of login() in the codebase,web_search,0
Find all occurrences of TODO comments,grep_search,1
Find all occurrences of TODO comments,codebase_search,0
Find all occurrences of TODO comments,read_file,0
Find all occurrences of TODO comments,list_dir,0
Find all occurrences of TODO comments,run_terminal_cmd,0
Find all occurrences of TODO comments,edit_file,0
Find all occurrences of TODO comments,web_search,0
Locate the definition of UserService class,grep_search,0
Locate the definition of UserService class,codebase_search,1
Locate the definition of UserService class,read_file,0
Locate the definition of UserService class,list_dir,0
Locate the definition of UserService class,run_terminal_cmd,0
Locate the definition of UserService class,edit_file,0
Locate the definition of UserService class,web_search,0
Find code similar to this authentication logic,grep_search,0
Find code similar to this authentication logic,codebase_search,1
Find code similar to this authentication logic,read_file,0
Find code similar to this authentication logic,list_dir,0
Find code similar to this authentication logic,run_terminal_cmd,0
Find code similar to this authentication logic,edit_file,0
Find code similar to this authentication logic,web_search,0
Search for all imports of pandas library,grep_search,1
Search for all imports of pandas library,codebase_search,0
Search for all imports of pandas library,read_file,0
Search for all imports of pandas library,list_dir,0
Search for all imports of pandas library,run_terminal_cmd,0
Search for all imports of pandas library,edit_file,0
Search for all imports of pandas library,web_search,0
Find all methods that return None,grep_search,1
Find all methods that return None,codebase_search,1
Find all methods that return None,read_file,0
Find all methods that return None,list_dir,0
Find all methods that return None,run_terminal_cmd,0
Find all methods that return None,edit_file,0
Find all methods that return None,web_search,0
What files are in the src directory?,grep_search,0
What files are in the src directory?,codebase_search,0
What files are in the src directory?,read_file,0
What files are in the src directory?,list_dir,1
What files are in the src directory?,run_terminal_cmd,0
What files are in the src directory?,edit_file,0
What files are in the src directory?,web_search,0
List all files in the project root,grep_search,0
List all files in the project root,codebase_search,0
List all files in the project root,read_file,0
List all files in the project root,list_dir,1
List all files in the project root,run_terminal_cmd,0
List all files in the project root,edit_file,0
List all files in the project root,web_search,0
Show me the directory structure,grep_search,0
Show me the directory structure,codebase_search,0
Show me the directory structure,read_file,0
Show me the directory structure,list_dir,1
Show me the directory structure,run_terminal_cmd,0
Show me the directory structure,edit_file,0
Show me the directory structure,web_search,0
What is in the config folder?,grep_search,0
What is in the config folder?,codebase_search,0
What is in the config folder?,read_file,0
What is in the config folder?,list_dir,1
What is in the config folder?,run_terminal_cmd,0
What is in the config folder?,edit_file,0
What is in the config folder?,web_search,0
Show all folders in data/,grep_search,0
Show all folders in data/,codebase_search,0
Show all folders in data/,read_file,0
Show all folders in data/,list_dir,1
Show all folders in data/,run_terminal_cmd,0
Show all folders in data/,edit_file,0
Show all folders in data/,web_search,0
Read the contents of README.md,grep_search,0
Read the contents of README.md,codebase_search,0
Read the contents of README.md,read_file,1
Read the contents of README.md,list_dir,0
Read the contents of README.md,run_terminal_cmd,0
Read the contents of README.md,edit_file,0
Read the contents of README.md,web_search,0
Show me what is in config.yaml,grep_search,0
Show me what is in config.yaml,codebase_search,0
Show me what is in config.yaml,read_file,1
Show me what is in config.yaml,list_dir,0
Show me what is in config.yaml,run_terminal_cmd,0
Show me what is in config.yaml,edit_file,0
Show me what is in config.yaml,web_search,0
Open the requirements.txt file,grep_search,0
Open the requirements.txt file,codebase_search,0
Open the requirements.txt file,read_file,1
Open the requirements.txt file,list_dir,0
Open the requirements.txt file,run_terminal_cmd,0
Open the requirements.txt file,edit_file,0
Open the requirements.txt file,web_search,0
Display the contents of src/train.py,grep_search,0
Display the contents of src/train.py,codebase_search,0
Display the contents of src/train.py,read_file,1
Display the contents of src/train.py,list_dir,0
Display the contents of src/train.py,run_terminal_cmd,0
Display the contents of src/train.py,edit_file,0
Display the contents of src/train.py,web_search,0
View the main configuration file,grep_search,0
View the main configuration file,codebase_search,0
